frequency,intensity
nm^{-1},[a.u.]
6.1,10.3335
6.104,10.215
6.108,10.2686
6.112,10.3407
6.116,10.2807
6.12,10.2203
6.124,10.2487
6.128,10.1487
6.132,10.1736
6.136,10.1148
6.14,10.0233
6.144,10.0709
6.148,10.155
6.152,10.1527
6.156,10.2374
6.16,10.4609
6.164,10.3279
6.168,10.2054
6.172,10.2052
6.176,10.2693
6.18,10.1238
6.184,10.1369
6.188,10.0989
6.192,10.1178
6.196,9.96371
6.2,10.2837
6.204,10.1289
6.208,10.1163
6.212,10.0499
6.216,10.1308
6.22,10.129
6.224,10.2796
6.228,10.0478
6.232,9.98888
6.236,10.2888
6.24,10.1837
6.244,10.2646
6.248,10.1053
6.252,9.93159
6.256,9.91456
6.26,10.1562
6.264,10.2021
6.268,10.0923
6.272,10.1704
6.276,10.2725
6.28,9.99298
6.284,10.0623
6.288,10.1378
6.292,10.0968
6.296,10.0463
6.3,10.1667
6.304,9.96505
6.308,10.197
6.312,10.2333
6.316,10.2151
6.32,10.1429
6.324,10.1768
