Wavenumber,Transmission
cm^{-1},a.u.
3425.5263,0.87966
3424.5619,0.87992
3423.5975,0.88114
3422.6331,0.88131
3421.6687,0.87992
3420.7043,0.88018
3419.7399,0.88183
3418.7755,0.88174
3417.8111,0.88096
3416.8467,0.88183
3415.8823,0.88253
3414.9179,0.88244
3413.9536,0.88296
3412.9891,0.88357
3412.0248,0.88279
3411.0604,0.88166
3410.096,0.88114
3409.1316,0.88088
3408.1672,0.88096
3407.2028,0.88218
3406.2384,0.88313
3405.274,0.88105
3404.3096,0.87653
3403.3452,0.87384
3402.3808,0.87505
3401.4164,0.87671
3400.452,0.87584
3399.4876,0.8741
3398.5233,0.87392
3397.5588,0.87479
3396.5945,0.87514
3395.6301,0.87575
3394.6657,0.87723
3393.7013,0.87827
3392.7369,0.87844
3391.7725,0.87688
3390.8081,0.87332
3389.8437,0.87132
3388.8793,0.87253
3387.9149,0.87445
3386.9505,0.87549
3385.9861,0.87592
3385.0217,0.87488
3384.0573,0.87297
3383.093,0.87219
3382.1286,0.87245
3381.1642,0.87271
3380.1998,0.8734
3379.2354,0.87462
3378.271,0.87497
3377.3066,0.87384
3376.3422,0.87236
3375.3778,0.87184
3374.4134,0.87219
3373.449,0.87123
3372.4846,0.86767
3371.5202,0.86419
3370.5558,0.86445
3369.5914,0.86854
3368.627,0.87306
3367.6627,0.87601
3366.6983,0.87705
3365.7339,0.87566
3364.7695,0.87358
3363.8051,0.87306
3362.8407,0.87262
3361.8763,0.87132
3360.9119,0.87019
3359.9475,0.87114
3358.9831,0.87271
3358.0187,0.87253
3357.0543,0.87088
3356.0899,0.8701
3355.1255,0.87175
3354.1611,0.87358
3353.1968,0.87306
3352.2324,0.8714
3351.268,0.87062
3350.3036,0.87062
3349.3392,0.8701
3348.3748,0.86975
3347.4104,0.8708
3346.446,0.87132
3345.4816,0.87045
3344.5172,0.87045
3343.5528,0.87088
3342.5884,0.87071
3341.624,0.87088
3340.6596,0.87106
3339.6952,0.87036
3338.7308,0.86923
3337.7665,0.86889
3336.802,0.8688
3335.8377,0.8681
3334.8733,0.86758
3333.9089,0.86767
3332.9445,0.86802
3331.9801,0.86889
3331.0157,0.86967
3330.0513,0.86932
3329.0869,0.86845
3328.1225,0.86889
3327.1581,0.8701
3326.1937,0.87036
3325.2293,0.86993
3324.2649,0.8701
3323.3005,0.87001
3322.3362,0.86967
3321.3717,0.86906
3320.4074,0.86723
3319.443,0.8661
3318.4786,0.86723
3317.5142,0.86906
3316.5498,0.8708
3315.5854,0.87227
3314.621,0.87245
3313.6566,0.87132
3312.6922,0.87062
3311.7278,0.87114
3310.7634,0.87097
3309.799,0.86932
3308.8346,0.86889
3307.8702,0.87045
3306.9059,0.87088
3305.9415,0.8688
3304.9771,0.8668
3304.0127,0.86715
3303.0483,0.86862
3302.0839,0.87019
3301.1195,0.8714
3300.1551,0.8714
3299.1907,0.8701
3298.2263,0.8681
3297.2619,0.86645
3296.2975,0.8655
3295.3331,0.86532
3294.3687,0.86619
3293.4043,0.86654
3292.4399,0.86602
3291.4756,0.86645
3290.5112,0.86732
3289.5468,0.86758
3288.5824,0.86819
3287.618,0.86862
3286.6536,0.86793
3285.6892,0.86715
3284.7248,0.86776
3283.7604,0.86871
3282.796,0.86828
3281.8316,0.86663
3280.8672,0.86593
3279.9028,0.86671
3278.9384,0.86828
3277.974,0.86958
3277.0096,0.86993
3276.0453,0.86967
3275.0809,0.86889
3274.1165,0.86715
3273.1521,0.8655
3272.1877,0.86532
3271.2233,0.86645
3270.2589,0.86793
3269.2945,0.86854
3268.3301,0.86845
3267.3657,0.86828
3266.4013,0.86802
3265.4369,0.86784
3264.4725,0.86776
3263.5081,0.86793
3262.5437,0.86854
3261.5793,0.86871
3260.615,0.86784
3259.6506,0.8675
3258.6862,0.86906
3257.7218,0.8714
3256.7574,0.87262
3255.793,0.87271
3254.8286,0.87253
3253.8642,0.87236
3252.8998,0.87201
3251.9354,0.87106
3250.971,0.86975
3250.0066,0.86819
3249.0422,0.86567
3248.0778,0.86298
3247.1134,0.86246
3246.149,0.86454
3245.1847,0.86654
3244.2203,0.86619
3243.2559,0.8648
3242.2915,0.86445
3241.3271,0.86506
3240.3627,0.86532
3239.3983,0.86471
3238.4339,0.86445
3237.4695,0.86524
3236.5051,0.86654
3235.5407,0.86889
3234.5763,0.87114
3233.6119,0.87123
3232.6475,0.86949
3231.6831,0.86828
3230.7188,0.86793
3229.7544,0.86723
3228.79,0.86654
3227.8256,0.8668
3226.8612,0.86828
3225.8968,0.87001
3224.9324,0.8708
3223.968,0.87001
3223.0036,0.86932
3222.0392,0.87001
3221.0748,0.87123
3220.1104,0.87132
3219.146,0.87062
3218.1816,0.86958
3217.2172,0.86776
3216.2528,0.86654
3215.2885,0.86723
3214.3241,0.86784
3213.3597,0.8675
3212.3953,0.8661
3211.4309,0.86489
3210.4665,0.86541
3209.5021,0.86697
3208.5377,0.8681
3207.5733,0.86941
3206.6089,0.87114
3205.6445,0.87175
3204.6801,0.87062
3203.7157,0.86889
3202.7513,0.8681
3201.7869,0.86871
3200.8225,0.87001
3199.8582,0.87071
3198.8938,0.87062
3197.9294,0.87132
3196.965,0.87253
3196.0006,0.87306
3195.0362,0.87297
3194.0718,0.87193
3193.1074,0.87097
3192.143,0.87167
3191.1786,0.8728
3190.2142,0.87262
3189.2498,0.87175
3188.2854,0.87123
3187.321,0.8714
3186.3566,0.8734
3185.3922,0.87549
3184.4279,0.87531
3183.4635,0.87349
3182.4991,0.87219
3181.5347,0.87158
3180.5703,0.87167
3179.6059,0.87175
3178.6415,0.87062
3177.6771,0.86889
3176.7127,0.86889
3175.7483,0.87028
3174.7839,0.8714
3173.8195,0.87306
3172.8551,0.87488
3171.8907,0.87462
3170.9263,0.87392
3169.9619,0.87453
3168.9976,0.87479
3168.0332,0.8734
3167.0688,0.87184
3166.1044,0.87184
3165.14,0.8728
3164.1756,0.8734
3163.2112,0.8734
3162.2468,0.87314
3161.2824,0.87262
3160.318,0.8721
3159.3536,0.87123
3158.3892,0.87019
3157.4248,0.86967
3156.4604,0.87001
3155.4961,0.87193
3154.5316,0.87453
3153.5673,0.87549
3152.6029,0.87479
3151.6385,0.87392
3150.6741,0.87375
3149.7097,0.8741
3148.7453,0.8741
3147.7809,0.87427
3146.8165,0.87358
3145.8521,0.87175
3144.8877,0.87219
3143.9233,0.87471
3142.9589,0.87523
3141.9945,0.8741
3141.0301,0.8741
3140.0658,0.87497
3139.1013,0.87523
3138.137,0.8754
3137.1726,0.87505
3136.2082,0.87479
3135.2438,0.87601
3134.2794,0.87818
3133.315,0.87905
