Wavenumber,Transmission
cm^{-1},a.u.
3360.9119,0.70892
3359.9475,0.70829
3358.9831,0.70739
3358.0187,0.70627
3357.0543,0.70517
3356.0899,0.70442
3355.1255,0.70419
3354.1611,0.7043
3353.1967,0.7044
3352.2324,0.70429
3351.268,0.70399
3350.3036,0.70351
3349.3392,0.70283
3348.3748,0.70199
3347.4104,0.70116
3346.446,0.70054
3345.4816,0.70022
3344.5172,0.70012
3343.5528,0.70006
3342.5884,0.69979
3341.624,0.69923
3340.6596,0.6984
3339.6952,0.69745
3338.7308,0.69652
3337.7664,0.69571
3336.8021,0.69504
3335.8377,0.69446
3334.8733,0.69394
3333.9089,0.69352
3332.9445,0.69323
3331.9801,0.69301
3331.0157,0.69273
3330.0513,0.69227
3329.0869,0.69157
3328.1225,0.69068
3327.1581,0.68969
3326.1937,0.68873
3325.2293,0.68801
3324.2649,0.68755
3323.3005,0.68723
3322.3361,0.68685
3321.3718,0.68635
3320.4074,0.68586
3319.443,0.68557
3318.4786,0.68548
3317.5142,0.68535
3316.5498,0.68494
3315.5854,0.68427
3314.621,0.68349
3313.6566,0.68267
3312.6922,0.68187
3311.7278,0.68113
3310.7634,0.68053
3309.799,0.67999
3308.8346,0.67942
3307.8702,0.67873
3306.9059,0.67791
3305.9415,0.677
3304.9771,0.67612
3304.0127,0.67531
3303.0483,0.67444
3302.0839,0.67339
3301.1195,0.67222
3300.1551,0.67105
3299.1907,0.66996
3298.2263,0.66891
3297.2619,0.66785
3296.2975,0.6668
3295.3331,0.66583
3294.3687,0.66507
3293.4043,0.66449
3292.4399,0.66394
3291.4756,0.66324
3290.5112,0.66236
3289.5468,0.6614
3288.5824,0.66039
3287.618,0.65924
3286.6536,0.65795
3285.6892,0.65668
3284.7248,0.65559
3283.7604,0.6547
3282.796,0.65393
3281.8316,0.65328
3280.8672,0.65273
3279.9028,0.65221
3278.9384,0.65168
3277.974,0.65112
3277.0096,0.65051
3276.0453,0.64982
3275.0809,0.6491
3274.1165,0.64844
3273.1521,0.64787
3272.1877,0.64727
3271.2233,0.64644
3270.2589,0.64533
3269.2945,0.64414
3268.3301,0.64308
3267.3657,0.64222
3266.4013,0.64154
3265.4369,0.64094
3264.4725,0.64043
3263.5081,0.64001
3262.5437,0.63967
3261.5793,0.6394
3260.615,0.63913
3259.6506,0.63883
3258.6862,0.63843
3257.7218,0.63788
3256.7574,0.63716
3255.793,0.63633
3254.8286,0.63545
3253.8642,0.63457
3252.8998,0.63377
3251.9354,0.63315
3250.971,0.63274
3250.0066,0.63246
3249.0422,0.63213
3248.0778,0.63158
3247.1134,0.6309
3246.149,0.63026
3245.1847,0.62982
3244.2203,0.6296
3243.2559,0.62954
3242.2915,0.6295
3241.3271,0.62933
3240.3627,0.62897
3239.3983,0.6285
3238.4339,0.62801
3237.4695,0.62751
3236.5051,0.62692
3235.5407,0.62611
3234.5763,0.62509
3233.6119,0.62403
3232.6475,0.62316
3231.6831,0.62265
3230.7188,0.62252
3229.7544,0.62259
3228.79,0.62268
3227.8256,0.62261
3226.8612,0.6223
3225.8968,0.62171
3224.9324,0.62094
3223.968,0.6202
3223.0036,0.61971
3222.0392,0.61956
3221.0748,0.61967
3220.1104,0.61986
3219.146,0.61996
3218.1816,0.61993
3217.2172,0.61975
3216.2528,0.61944
3215.2885,0.61899
3214.3241,0.61844
3213.3597,0.61787
3212.3953,0.61744
3211.4309,0.61725
3210.4665,0.61727
3209.5021,0.61735
3208.5377,0.61726
3207.5733,0.61687
3206.6089,0.61612
3205.6445,0.6152
3204.6801,0.6144
3203.7157,0.61402
3202.7513,0.61396
3201.7869,0.61393
3200.8225,0.61375
3199.8582,0.61349
3198.8938,0.61333
3197.9294,0.61332
3196.965,0.6134
3196.0006,0.61344
3195.0362,0.61331
3194.0718,0.613
3193.1074,0.61257
3192.143,0.61211
3191.1786,0.6116
3190.2142,0.61105
3189.2498,0.61048
3188.2854,0.60999
3187.321,0.60973
3186.3566,0.6098
3185.3922,0.61022
3184.4279,0.61092
3183.4635,0.61171
3182.4991,0.61231
3181.5347,0.61249
3180.5703,0.61227
3179.6059,0.61192
3178.6415,0.61168
3177.6771,0.61152
3176.7127,0.61123
3175.7483,0.61074
3174.7839,0.61028
3173.8195,0.61017
3172.8551,0.61056
3171.8907,0.61129
3170.9263,0.61209
3169.962,0.6127
3168.9976,0.61301
3168.0332,0.61297
3167.0688,0.61265
3166.1044,0.61226
3165.14,0.61194
3164.1756,0.61179
3163.2112,0.61183
3162.2468,0.61206
3161.2824,0.61249
3160.318,0.61307
3159.3536,0.61376
3158.3892,0.61442
3157.4248,0.615
3156.4604,0.61546
3155.496,0.6158
3154.5317,0.61599
3153.5673,0.61593
3152.6029,0.61564
3151.6385,0.61525
3150.6741,0.61492
3149.7097,0.6148
3148.7453,0.61501
3147.7809,0.61553
3146.8165,0.61616
3145.8521,0.61665
3144.8877,0.61687
3143.9233,0.61687
3142.9589,0.61674
3141.9945,0.6166
3141.0301,0.61658
3140.0657,0.61677
3139.1014,0.61713
3138.137,0.61749
3137.1726,0.6177
3136.2082,0.6178
3135.2438,0.61782
3134.2794,0.61776
3133.315,0.61761
3132.3506,0.61751
3131.3862,0.6176
3130.4218,0.61795
3129.4574,0.61861
3128.493,0.61948
3127.5286,0.62035
3126.5642,0.62095
3125.5998,0.62108
3124.6354,0.62089
3123.6711,0.62064
3122.7067,0.62059
3121.7423,0.62077
3120.7779,0.62102
3119.8135,0.62119
3118.8491,0.62117
3117.8847,0.62088
3116.9203,0.62029
3115.9559,0.61955
3114.9915,0.61888
3114.0271,0.61846
3113.0627,0.61837
3112.0983,0.61867
3111.1339,0.61929
3110.1695,0.61997
3109.2051,0.62043
3108.2408,0.62057
3107.2764,0.62046
3106.312,0.62025
3105.3476,0.62006
3104.3832,0.61985
3103.4188,0.61953
3102.4544,0.61906
3101.49,0.61857
3100.5256,0.61814
3099.5612,0.61779
3098.5968,0.61743
3097.6324,0.61706
3096.668,0.61671
3095.7036,0.61645
3094.7392,0.61626
3093.7749,0.61608
3092.8105,0.6159
3091.8461,0.61584
3090.8817,0.6159
3089.9173,0.61602
3088.9529,0.6161
3087.9885,0.61611
3087.0241,0.61602
3086.0597,0.61582
3085.0953,0.61566
3084.1309,0.61566
3083.1665,0.61584
3082.2021,0.61602
3081.2377,0.61605
3080.2733,0.61595
