Wavenumber,Transmission
cm^{-1},a.u.
3608.7611,0.94172
3607.7967,0.94095
3606.8323,0.93965
3605.8679,0.93805
3604.9035,0.93644
3603.9391,0.93583
3602.9747,0.93556
3602.0103,0.9338
3601.0459,0.93139
3600.0815,0.93051
3599.1171,0.93074
3598.1527,0.93028
3597.1883,0.92921
3596.224,0.9284
3595.2596,0.9279
3594.2952,0.92718
3593.3308,0.92526
3592.3664,0.92251
3591.402,0.92079
3590.4376,0.9206
3589.4732,0.9206
3588.5088,0.91952
3587.5444,0.91746
3586.58,0.91585
3585.6156,0.91493
3584.6512,0.91348
3583.6868,0.91214
3582.7224,0.91202
3581.758,0.9121
3580.7937,0.91114
3579.8292,0.90946
3578.8649,0.90808
3577.9005,0.90735
3576.9361,0.90647
3575.9717,0.90475
3575.0073,0.90292
3574.0429,0.90192
3573.0785,0.90096
3572.1141,0.89997
3571.1497,0.89951
3570.1853,0.89955
3569.2209,0.89928
3568.2565,0.89829
3567.2921,0.89641
3566.3277,0.89408
3565.3634,0.89216
3564.399,0.89086
3563.4346,0.88979
3562.4702,0.88914
3561.5058,0.88872
3560.5414,0.88765
3559.577,0.88581
3558.6126,0.88439
3557.6482,0.88355
3556.6838,0.88195
3555.7194,0.87976
3554.755,0.87827
3553.7906,0.87758
3552.8262,0.87716
3551.8618,0.87682
3550.8974,0.87586
3549.9331,0.87376
3548.9687,0.87112
3548.0043,0.86962
3547.0399,0.86916
3546.0755,0.86859
3545.1111,0.86805
3544.1467,0.86756
3543.1823,0.86645
3542.2179,0.8648
3541.2535,0.86277
3540.2891,0.86109
3539.3247,0.86013
3538.3603,0.85921
3537.3959,0.85784
3536.4315,0.8565
3535.4671,0.85566
3534.5028,0.85539
3533.5384,0.85493
3532.574,0.85374
3531.6096,0.85244
3530.6452,0.85164
3529.6808,0.85103
3528.7164,0.85034
3527.752,0.84911
3526.7876,0.84743
3525.8232,0.8459
3524.8588,0.84471
3523.8944,0.84333
3522.93,0.84188
3521.9656,0.84108
3521.0012,0.84096
3520.0368,0.84062
3519.0725,0.83916
3518.1081,0.83733
3517.1437,0.83557
3516.1793,0.83354
3515.2149,0.83162
3514.2505,0.83071
3513.2861,0.83051
3512.3217,0.82975
3511.3573,0.82784
3510.3929,0.82577
3509.4285,0.8242
3508.4641,0.82267
3507.4997,0.82198
3506.5353,0.82233
3505.5709,0.82148
3504.6065,0.81896
3503.6422,0.81685
3502.6778,0.81582
3501.7134,0.81502
3500.749,0.81421
3499.7846,0.81387
3498.8202,0.81341
3497.8558,0.81188
3496.8914,0.80962
3495.927,0.80744
3494.9626,0.80579
3493.9982,0.80484
3493.0338,0.80388
3492.0694,0.80246
3491.105,0.80143
3490.1406,0.8012
3489.1762,0.80132
3488.2119,0.80093
3487.2475,0.79975
3486.2831,0.79814
3485.3187,0.7963
3484.3543,0.79481
3483.3899,0.7942
3482.4255,0.79393
3481.4611,0.79313
3480.4967,0.79179
3479.5323,0.79018
3478.5679,0.78846
3477.6035,0.78704
3476.6391,0.78609
3475.6747,0.7854
3474.7103,0.78417
3473.7459,0.78241
3472.7816,0.781
3471.8172,0.78012
3470.8528,0.77947
3469.8884,0.77882
3468.924,0.77748
3467.9596,0.77529
3466.9952,0.7735
3466.0308,0.77242
3465.0664,0.77143
3464.102,0.77043
3463.1376,0.76902
3462.1732,0.76734
3461.2088,0.76623
3460.2444,0.76573
3459.28,0.76512
3458.3157,0.76412
3457.3513,0.7632
3456.3869,0.76274
3455.4225,0.76263
3454.4581,0.76217
3453.4937,0.76064
3452.5293,0.75865
3451.5649,0.75723
3450.6005,0.75643
3449.6361,0.75578
3448.6717,0.75463
3447.7073,0.75302
3446.7429,0.75138
3445.7785,0.74996
3444.8141,0.74881
3443.8497,0.74774
3442.8854,0.74698
3441.921,0.74659
3440.9566,0.74625
3439.9922,0.74583
3439.0278,0.74514
3438.0634,0.74361
3437.099,0.7415
3436.1346,0.73974
3435.1702,0.73841
3434.2058,0.7373
3433.2414,0.73657
3432.277,0.73645
3431.3126,0.73603
3430.3482,0.73446
3429.3838,0.73282
3428.4194,0.73213
3427.4551,0.73163
3426.4907,0.73087
3425.5263,0.72995
3424.5619,0.72914
3423.5975,0.72853
3422.6331,0.72746
3421.6687,0.72612
3420.7043,0.72555
3419.7399,0.72559
3418.7755,0.72528
3417.8111,0.72432
3416.8467,0.72306
3415.8823,0.72218
3414.9179,0.72191
3413.9536,0.72157
3412.9891,0.72061
3412.0248,0.71908
3411.0604,0.71755
3410.096,0.71621
3409.1316,0.71476
3408.1672,0.71345
3407.2028,0.71296
3406.2384,0.71303
3405.274,0.71254
3404.3096,0.71112
3403.3452,0.70963
3402.3808,0.70867
3401.4164,0.70806
3400.452,0.70718
3399.4876,0.70592
3398.5233,0.70519
3397.5588,0.70546
3396.5945,0.70584
3395.6301,0.70523
3394.6657,0.70435
3393.7013,0.70412
3392.7369,0.70396
3391.7725,0.70289
3390.8081,0.70098
3389.8437,0.69918
3388.8793,0.69777
