Depth,Load
nm,\muN
306.4406,1142.9365
306.5698,1144.4104
306.6596,1145.8619
306.9377,1147.3531
307.1411,1148.8018
307.4549,1150.2465
307.745,1151.7588
308.0562,1153.4194
308.1679,1154.8698
308.4224,1156.3274
308.5698,1157.7853
308.8748,1159.2881
309.1073,1160.7382
309.2878,1162.2
309.6107,1163.6875
309.8309,1165.2638
309.9616,1166.7223
310.2443,1168.1714
310.4482,1169.5921
310.73,1171.0499
310.9098,1172.5003
311.3328,1173.9275
311.469,1175.5182
311.6094,1177.1553
311.974,1178.5813
312.2755,1180.0211
312.2917,1181.5261
312.7002,1183.0284
312.9454,1184.4624
313.0914,1185.9338
313.2881,1187.4682
313.5425,1189.0386
313.8994,1190.4503
313.9229,1191.9352
314.279,1193.3547
314.4215,1194.8497
314.6571,1196.2886
314.9056,1197.7482
315.0668,1199.3166
315.2198,1200.9375
315.6574,1202.3464
315.7248,1203.8353
315.9983,1205.2773
316.2951,1206.7574
316.5818,1208.1792
316.78,1209.6354
317.0843,1211.125
317.195,1212.7067
317.4009,1214.148
317.6975,1215.6101
317.8325,1217.0277
318.1656,1218.4532
318.2453,1219.9255
318.5431,1221.3777
318.7176,1222.9318
319.0471,1224.6012
319.3816,1226.0198
319.5399,1227.4834
319.6157,1228.9652
320.0529,1230.4884
320.1165,1231.9502
320.4754,1233.393
320.7599,1234.8653
320.9316,1236.5099
321.2813,1237.9355
321.307,1239.4287
321.5385,1240.8545
321.7706,1242.3433
322.0802,1243.7757
322.3988,1245.2201
322.4695,1246.6904
322.6167,1248.4365
322.8302,1249.8917
323.2053,1251.3366
323.4672,1252.7764
323.7848,1254.2833
323.8262,1255.7574
324.1029,1257.2023
324.241,1258.6469
324.6798,1260.2218
324.9647,1261.6947
325.0998,1263.1501
325.4416,1264.5849
325.681,1266.013
325.7822,1267.4948
326.0982,1268.9215
326.025,1270.4138
326.5246,1272.0081
326.7173,1273.588
327.0966,1275.0096
327.0479,1276.5046
327.3023,1277.9804
327.4925,1279.5163
327.7686,1280.943
327.9815,1282.4113
328.2405,1283.8986
328.3004,1285.5225
328.5995,1286.9624
328.8056,1288.4353
329.2025,1289.8312
329.4012,1291.3066
329.6003,1292.7503
329.8363,1294.2147
329.9565,1295.6672
330.1163,1297.4033
330.4976,1298.8405
330.6298,1300.3044
330.7349,1301.7615
331.0153,1303.2431
331.2922,1304.6989
331.4013,1306.1633
331.6745,1307.5905
331.8632,1309.1271
332.041,1310.6498
332.3881,1312.0696
332.7347,1313.5201
333.0271,1314.9293
333.2093,1316.3848
333.5189,1317.8087
333.563,1319.3057
333.7717,1320.8502
333.9813,1322.6258
334.1879,1324.0643
334.4001,1325.5341
334.7949,1326.9368
334.8011,1328.5559
335.1001,1330.009
335.2244,1331.4806
335.4904,1332.9092
335.934,1334.5276
335.9549,1336.0642
336.1905,1337.5178
336.3746,1338.9651
336.6484,1340.4101
336.8103,1341.9117
337.1225,1343.3512
337.2815,1344.8289
337.3636,1346.384
337.5984,1348.055
338.0269,1349.4572
338.2014,1350.9494
338.3218,1352.3948
338.4835,1353.9404
338.7951,1355.3589
338.8321,1356.8778
339.2403,1358.2754
339.5818,1359.8757
339.6061,1361.39
339.9628,1362.8394
340.186,1364.2812
340.4108,1365.7037
340.594,1367.1703
340.973,1368.6202
341.2488,1370.0717
341.3895,1371.6156
341.655,1373.3039
342.0173,1374.7265
342.0064,1376.2154
342.1409,1377.6511
342.5369,1379.2109
342.7781,1380.6689
342.8957,1382.1349
343.1037,1383.5759
343.238,1385.2047
343.5911,1386.7053
343.8166,1388.1473
344.1307,1389.5956
344.1816,1391.0672
344.273,1392.5673
344.8022,1393.953
344.9081,1395.4534
345.0518,1396.9251
345.3941,1398.6193
345.4465,1400.098
345.7392,1401.574
345.8752,1403.0025
346.1538,1404.4891
346.2436,1406.007
346.4447,1407.4451
346.7656,1408.8814
346.9314,1410.4182
347.2933,1411.9603
347.3871,1413.4047
347.5977,1414.8871
347.7349,1416.3242
347.9914,1417.7517
348.3177,1419.1996
348.4383,1420.6932
348.615,1422.0899
348.9999,1423.8097
349.2112,1425.3459
349.4676,1426.7773
349.7288,1428.2565
349.861,1429.73
350.2098,1431.2605
350.2631,1432.7374
350.6065,1434.176
351.0055,1435.5691
350.8127,1437.3589
351.0758,1438.8008
351.3544,1440.2509
351.5496,1441.7114
351.8344,1443.1581
352.0164,1444.6347
352.2824,1446.0971
352.3758,1447.5684
352.7864,1449.0487
352.9367,1450.7761
353.1586,1452.2022
353.3445,1453.6923
353.4054,1455.1528
353.5975,1456.6683
353.8877,1457.5587
354.0777,1457.5282
,
354.2506,1457.5093
354.3318,1457.5
354.4329,1457.4824
354.5086,1457.4723
354.6609,1457.4548
354.5968,1457.46
354.8562,1457.4257
354.9633,1457.4108
355.148,1457.3854
355.2327,1457.3605
355.4457,1457.3347
355.5547,1457.3164
355.5845,1457.3126
355.7147,1457.2943
355.7312,1457.293
355.9368,1457.2611
356.1288,1457.2283
356.1106,1457.2265
356.2127,1457.2094
356.2519,1457.2005
356.4711,1457.177
356.526,1457.161
356.7351,1457.1322
356.7674,1457.139
356.8686,1457.1164
357.005,1457.0916
356.9641,1457.0952
357.021,1457.0894
357.2904,1457.0466
357.4323,1457.0333
357.5053,1457.0168
357.5844,1457.0055
357.8027,1456.9687
357.8132,1456.967
357.8721,1456.958
357.983,1456.9485
358.1962,1456.912
358.0362,1456.9338
358.2849,1456.9013
358.4606,1456.8785
358.5521,1456.8638
358.7273,1456.8426
358.6496,1456.8487
358.8231,1456.8231
358.9054,1456.8125
359.0352,1456.7981
358.9962,1456.8019
359.0674,1456.7852
359.0017,1456.8051
359.2769,1456.7587
359.3597,1456.7499
359.341,1456.7564
359.4217,1456.7453
359.5916,1456.727
359.6005,1456.7291
359.6978,1456.706
359.7452,1456.6994
359.7476,1456.6995
359.8017,1456.6895
360.0349,1456.6571
360.0623,1456.6581
360.115,1456.6417
360.0924,1456.6414
360.172,1456.6278
360.5348,1456.5829
360.4333,1456.5989
360.5241,1456.5828
360.5,1456.5895
360.4772,1456.5924
360.6527,1456.5675
360.651,1456.5695
360.7275,1456.5615
360.7753,1456.5493
360.9402,1456.5266
360.972,1456.5164
360.9202,1456.5312
361.0518,1456.5148
360.9868,1456.5129
361.0535,1456.5098
361.1222,1456.4954
361.3421,1456.4678
361.4031,1456.4732
361.3751,1456.4623
361.5193,1456.4409
361.5274,1456.4456
361.6456,1456.4219
361.7151,1456.4141
361.7267,1456.4089
361.8953,1456.3892
361.9351,1456.3863
362.145,1456.3545
362.1122,1456.3573
362.2274,1456.3386
362.1858,1456.3443
362.3193,1456.3234
362.2721,1456.3287
362.144,1456.3519
362.4146,1456.3114
362.289,1456.3338
362.4461,1456.3065
362.6197,1456.2774
362.6031,1456.289
362.5744,1456.2847
362.6877,1456.2717
362.8601,1456.2528
362.9389,1456.2418
363.0177,1456.2266
363.1208,1456.2081
363.0614,1456.2211
363.0364,1456.2289
363.2151,1456.203
363.2987,1456.1866
363.3196,1456.1725
363.5028,1456.1512
363.4456,1456.163
363.4742,1456.1537
363.4265,1456.1646
363.4849,1456.155
363.7884,1456.1085
363.6549,1456.1297
363.4044,1456.1744
363.7155,1456.1178
363.7497,1456.1161
363.8282,1456.1034
363.9814,1456.0816
363.8723,1456.0995
363.8657,1456.0973
363.8339,1456.1049
364.1314,1456.0683
363.9841,1456.0885
364.2766,1456.0396
364.3175,1456.0437
364.2452,1456.0511
364.3081,1456.0439
364.4468,1456.0117
364.458,1456.0141
364.5486,1456.0058
364.3661,1456.0309
364.5262,1456.0057
364.584,1455.9986
364.7087,1455.9814
364.7242,1455.9769
364.7195,1455.9781
364.8935,1455.9469
364.7919,1455.9684
364.8015,1455.965
364.9331,1455.9511
364.9552,1455.949
365.0466,1455.9263
364.9481,1455.9442
365.036,1455.9392
365.2689,1455.8986
365.4004,1455.8757
365.4824,1455.8667
365.3558,1455.88
365.2873,1455.8976
365.2708,1455.9025
365.4115,1455.8755
365.5105,1455.8701
365.5348,1455.8647
365.5304,1455.8643
365.3152,1455.8909
365.5104,1455.8633
365.6216,1455.847
365.7143,1455.8317
365.7803,1455.8202
365.7949,1455.8165
365.8441,1455.8078
365.892,1455.8166
366.0739,1455.7885
366.0243,1455.7878
365.9423,1455.8143
365.9046,1455.8113
365.9896,1455.8013
366.1295,1455.7776
366.1812,1455.7723
366.1284,1455.7774
366.2242,1455.7682
366.1647,1455.7761
366.3429,1455.7532
366.2198,1455.7615
366.3133,1455.7522
366.3243,1455.7521
366.5533,1455.73
366.4217,1455.7351
366.5472,1455.7246
366.5901,1455.7217
366.4973,1455.7268
366.674,1455.71
366.7354,1455.6994
366.7044,1455.7047
366.8482,1455.6909
366.6191,1455.7152
366.7646,1455.6932
366.7149,1455.698
366.8762,1455.6818
366.9519,1455.6731
366.9874,1455.6727
366.9587,1455.6707
367.1171,1455.6494
366.9949,1455.669
367.1838,1455.6471
367.1438,1455.6364
367.1307,1455.6499
367.2401,1455.6362
367.1869,1455.6413
367.2109,1455.6373
367.2586,1455.6356
367.3998,1455.6104
367.3788,1455.6138
367.3756,1455.6112
367.5408,1455.5845
367.4864,1455.5902
367.4512,1455.6005
367.5553,1455.5838
367.4807,1455.5963
367.5217,1455.5907
367.5033,1455.5919
367.5191,1455.58
367.6344,1455.5708
367.6267,1455.5719
367.8051,1455.5441
367.9052,1455.5421
367.9186,1455.5436
367.7749,1455.554
367.834,1455.5458
367.9181,1455.5328
367.9271,1455.528
368.09,1455.5119
368.0702,1455.5143
368.0756,1455.5115
368.0678,1455.5103
368.1671,1455.5016
368.188,1455.5029
368.3206,1455.4829
368.3883,1455.4727
368.2643,1455.4847
368.247,1455.5015
368.4271,1455.475
368.4089,1455.4638
368.4299,1455.4587
368.4007,1455.4644
368.3762,1455.4702
368.5171,1455.4472
368.6255,1455.4376
368.7167,1455.4196
368.5288,1455.4488
368.5352,1455.4576
368.4649,1455.4681
368.6344,1455.4424
368.7441,1455.4199
368.9089,1455.3833
368.6685,1455.4316
368.7914,1455.4128
368.8677,1455.4084
368.9965,1455.3893
368.9082,1455.4036
368.852,1455.403
368.9684,1455.3984
368.8944,1455.4052
368.9074,1455.3927
369.0149,1455.3811
369.2178,1455.3413
369.3279,1455.3243
369.2166,1455.3436
369.1499,1455.3534
369.2289,1455.3438
369.2968,1455.331
369.4746,1455.3115
369.3199,1455.3364
369.3311,1455.3353
369.3901,1455.3201
369.4302,1455.318
369.5806,1455.2945
369.5607,1455.3032
369.7018,1455.2755
369.723,1455.2738
369.5766,1455.2924
369.6236,1455.2828
369.7621,1455.2599
369.7607,1455.2549
369.8223,1455.2484
369.8413,1455.2498
369.7946,1455.2501
369.8213,1455.2508
369.7583,1455.2586
369.9699,1455.228
369.9084,1455.2395
369.923,1455.2286
369.934,1455.2368
369.9843,1455.2305
369.9799,1455.2379
370.0158,1455.2283
370.009,1455.2275
370.1943,1455.1989
370.1204,1455.2068
369.952,1455.2401
370.1489,1455.2049
370.2711,1455.1891
370.2836,1455.1823
370.2635,1455.1821
370.5017,1455.1475
370.4322,1455.1669
370.2847,1455.1931
370.3421,1455.1838
370.6374,1455.1444
370.5293,1455.1538
370.6427,1455.1364
370.6453,1455.1363
370.5825,1455.1427
370.7846,1455.1116
370.7055,1455.1278
370.7055,1455.1196
370.5856,1455.1374
370.7372,1455.1214
370.8081,1455.1103
370.9188,1455.0941
370.9384,1455.0882
370.8655,1455.1056
370.8731,1455.1081
370.9076,1455.0914
370.9319,1455.0888
371.091,1455.0672
371.0706,1455.0687
371.085,1455.074
371.0915,1455.0708
371.0704,1455.0701
371.1803,1455.0605
371.0254,1455.0787
371.1203,1455.0586
371.1261,1455.0642
371.1263,1455.0684
371.3037,1455.0368
371.0459,1455.078
371.2169,1455.0518
371.3731,1455.0278
371.313,1455.0364
371.1098,1455.063
371.0484,1455.072
371.3135,1455.0324
371.3136,1455.0371
371.2721,1455.0466
371.3812,1455.0353
371.1865,1455.0568
371.4285,1455.0301
371.4005,1455.0274
371.3594,1455.0371
371.4785,1455.0207
