X,Y,I,In
0.56,8.61515,0,0
0.56,8.6303,1,2.63157894736842
0.56,8.64545,1,2.63157894736842
0.56,8.6606,0,0
0.56,8.67575,1,2.63157894736842
0.56,8.6909,3,7.89473684210526
0.56,8.70605,1,2.63157894736842
0.56,8.7212,1,2.63157894736842
0.56,8.73635,0,0
0.56,8.7515,0,0
0.56,8.76665,2,5.26315789473684
0.56,8.7818,2,5.26315789473684
0.56,8.79695,1,2.63157894736842
0.56,8.8121,0,0
0.56,8.82725,0,0
0.56,8.8424,1,2.63157894736842
0.56,8.8576,1,2.63157894736842
0.56,8.87275,1,2.63157894736842
0.56,8.8879,2,5.26315789473684
0.56,8.90305,2,5.26315789473684
0.56,8.9182,2,5.26315789473684
0.56,8.93335,2,5.26315789473684
0.56,8.9485,0,0
0.56,8.96365,1,2.63157894736842
0.56,8.9788,0,0
0.56,8.99395,0,0
0.56,9.0091,0,0
0.56,9.02425,0,0
0.56,9.0394,0,0
0.56,9.05455,0,0
0.56,9.0697,1,2.63157894736842
0.56,9.08485,1,2.63157894736842
0.56,9.1,0,0
0.575,8.1,0,0
0.575,8.11515,1,2.63157894736842
0.575,8.1303,0,0
0.575,8.14545,1,2.63157894736842
0.575,8.1606,0,0
0.575,8.17575,1,2.63157894736842
0.575,8.1909,1,2.63157894736842
0.575,8.20605,1,2.63157894736842
0.575,8.2212,0,0
0.575,8.23635,0,0
0.575,8.2515,1,2.63157894736842
0.575,8.26665,1,2.63157894736842
0.575,8.2818,0,0
0.575,8.29695,1,2.63157894736842
0.575,8.3121,3,7.89473684210526
0.575,8.32725,0,0
0.575,8.3424,0,0
0.575,8.3576,2,5.26315789473684
0.575,8.37275,0,0
0.575,8.3879,2,5.26315789473684
0.575,8.40305,3,7.89473684210526
0.575,8.4182,2,5.26315789473684
0.575,8.43335,1,2.63157894736842
0.575,8.4485,0,0
0.575,8.46365,0,0
0.575,8.4788,2,5.26315789473684
0.575,8.49395,0,0
0.575,8.5091,0,0
0.575,8.52425,1,2.63157894736842
0.575,8.5394,1,2.63157894736842
0.575,8.55455,7,18.4210526315789
0.575,8.5697,0,0
0.575,8.58485,0,0
0.575,8.6,4,10.5263157894737
0.575,8.61515,1,2.63157894736842
0.575,8.6303,1,2.63157894736842
0.575,8.64545,2,5.26315789473684
0.575,8.6606,2,5.26315789473684
0.575,8.67575,1,2.63157894736842
0.575,8.6909,0,0
0.575,8.70605,1,2.63157894736842
0.575,8.7212,0,0
0.575,8.73635,2,5.26315789473684
0.575,8.7515,2,5.26315789473684
0.575,8.76665,0,0
0.575,8.7818,1,2.63157894736842
0.575,8.79695,0,0
0.575,8.8121,1,2.63157894736842
0.575,8.82725,0,0
0.575,8.8424,0,0
0.575,8.8576,0,0
0.575,8.87275,0,0
0.575,8.8879,1,2.63157894736842
0.575,8.90305,2,5.26315789473684
0.575,8.9182,1,2.63157894736842
0.575,8.93335,2,5.26315789473684
0.575,8.9485,2,5.26315789473684
