xposition,yposition,Fe_rel_conc
0.545,8.9182,9.23913043478261
0.545,8.93335,10.3260869565217
0.545,8.9485,8.69565217391304
0.545,8.96365,9.23913043478261
0.545,8.9788,6.52173913043478
0.545,8.99395,8.15217391304348
0.545,9.0091,6.52173913043478
0.545,9.02425,5.43478260869565
0.545,9.0394,2.71739130434783
0.545,9.05455,3.80434782608696
0.545,9.0697,5.97826086956522
0.545,9.08485,9.23913043478261
0.545,9.1,7.60869565217391
0.56,8.1,1.6304347826087
0.56,8.11515,4.34782608695652
0.56,8.1303,2.71739130434783
0.56,8.14545,3.26086956521739
0.56,8.1606,3.26086956521739
0.56,8.17575,2.71739130434783
0.56,8.1909,5.97826086956522
0.56,8.20605,3.80434782608696
0.56,8.2212,4.89130434782609
0.56,8.23635,3.80434782608696
0.56,8.2515,4.34782608695652
0.56,8.26665,3.26086956521739
0.56,8.2818,5.97826086956522
0.56,8.29695,3.26086956521739
0.56,8.3121,1.6304347826087
0.56,8.32725,2.71739130434783
0.56,8.3424,2.17391304347826
0.56,8.3576,3.26086956521739
0.56,8.37275,2.71739130434783
0.56,8.3879,3.26086956521739
0.56,8.40305,2.71739130434783
0.56,8.4182,3.80434782608696
0.56,8.43335,4.34782608695652
0.56,8.4485,2.71739130434783
0.56,8.46365,3.80434782608696
0.56,8.4788,5.43478260869565
0.56,8.49395,4.89130434782609
0.56,8.5091,4.89130434782609
0.56,8.52425,4.34782608695652
0.56,8.5394,3.80434782608696
0.56,8.55455,2.71739130434783
0.56,8.5697,5.97826086956522
0.56,8.58485,9.23913043478261
0.56,8.6,8.69565217391304
0.56,8.61515,5.43478260869565
0.56,8.6303,9.78260869565217
0.56,8.64545,9.78260869565217
0.56,8.6606,3.26086956521739
0.56,8.67575,4.89130434782609
0.56,8.6909,7.60869565217391
0.56,8.70605,2.17391304347826
0.56,8.7212,5.97826086956522
0.56,8.73635,5.43478260869565
0.56,8.7515,1.6304347826087
0.56,8.76665,6.52173913043478
0.56,8.7818,8.15217391304348
0.56,8.79695,3.80434782608696
0.56,8.8121,8.15217391304348
0.56,8.82725,3.80434782608696
0.56,8.8424,4.89130434782609
0.56,8.8576,10.3260869565217
0.56,8.87275,13.5869565217391
0.56,8.8879,13.0434782608696
0.56,8.90305,16.304347826087
0.56,8.9182,15.7608695652174
0.56,8.93335,14.1304347826087
0.56,8.9485,15.7608695652174
0.56,8.96365,11.4130434782609
0.56,8.9788,8.15217391304348
0.56,8.99395,4.89130434782609
0.56,9.0091,5.43478260869565
0.56,9.02425,2.71739130434783
0.56,9.0394,7.60869565217391
0.56,9.05455,3.26086956521739
0.56,9.0697,5.97826086956522
0.56,9.08485,5.97826086956522
0.56,9.1,5.43478260869565
0.575,8.1,3.26086956521739
0.575,8.11515,4.34782608695652
0.575,8.1303,3.26086956521739
0.575,8.14545,5.43478260869565
0.575,8.1606,1.6304347826087
0.575,8.17575,3.26086956521739
0.575,8.1909,1.6304347826087
0.575,8.20605,2.71739130434783
0.575,8.2212,1.6304347826087
0.575,8.23635,4.34782608695652
0.575,8.2515,2.71739130434783
0.575,8.26665,3.80434782608696
0.575,8.2818,2.71739130434783
0.575,8.29695,2.71739130434783
0.575,8.3121,3.26086956521739
0.575,8.32725,3.80434782608696
0.575,8.3424,1.6304347826087
0.575,8.3576,2.17391304347826
0.575,8.37275,2.71739130434783
0.575,8.3879,3.26086956521739
0.575,8.40305,5.43478260869565
0.575,8.4182,3.26086956521739
0.575,8.43335,2.71739130434783
0.575,8.4485,3.80434782608696
0.575,8.46365,4.34782608695652
0.575,8.4788,8.15217391304348
0.575,8.49395,2.17391304347826
0.575,8.5091,5.43478260869565
0.575,8.52425,3.80434782608696
0.575,8.5394,6.52173913043478
0.575,8.55455,16.304347826087
0.575,8.5697,11.4130434782609
0.575,8.58485,13.0434782608696
0.575,8.6,17.3913043478261
0.575,8.61515,14.1304347826087
0.575,8.6303,15.7608695652174
0.575,8.64545,24.4565217391304
0.575,8.6606,11.9565217391304
0.575,8.67575,13.5869565217391
0.575,8.6909,10.3260869565217
0.575,8.70605,7.60869565217391
0.575,8.7212,10.8695652173913
0.575,8.73635,10.3260869565217
0.575,8.7515,8.15217391304348
0.575,8.76665,10.8695652173913
0.575,8.7818,7.60869565217391
0.575,8.79695,4.89130434782609
0.575,8.8121,8.15217391304348
0.575,8.82725,9.23913043478261
0.575,8.8424,8.69565217391304
0.575,8.8576,4.34782608695652
0.575,8.87275,11.4130434782609
0.575,8.8879,15.2173913043478
0.575,8.90305,14.6739130434783
0.575,8.9182,15.2173913043478
0.575,8.93335,15.2173913043478
0.575,8.9485,11.4130434782609
0.575,8.96365,14.1304347826087
0.575,8.9788,7.60869565217391
0.575,8.99395,11.9565217391304
0.575,9.0091,8.15217391304348
0.575,9.02425,3.80434782608696
