X,Y,I,In
0.545,8.73635,10,0.0543478260869565
0.545,8.7515,7,0.0380434782608696
0.545,8.76665,8,0.0434782608695652
0.545,8.7818,4,0.0217391304347826
0.545,8.79695,9,0.0489130434782609
0.545,8.8121,6,0.0326086956521739
0.545,8.82725,7,0.0380434782608696
0.545,8.8424,9,0.0489130434782609
0.545,8.8576,21,0.114130434782609
0.545,8.87275,18,0.0978260869565217
0.545,8.8879,19,0.103260869565217
0.545,8.90305,19,0.103260869565217
0.545,8.9182,17,0.0923913043478261
0.545,8.93335,19,0.103260869565217
0.545,8.9485,16,0.0869565217391304
0.545,8.96365,17,0.0923913043478261
0.545,8.9788,12,0.0652173913043478
0.545,8.99395,15,0.0815217391304348
0.545,9.0091,12,0.0652173913043478
0.545,9.02425,10,0.0543478260869565
0.545,9.0394,5,0.0271739130434783
0.545,9.05455,7,0.0380434782608696
0.545,9.0697,11,0.0597826086956522
0.545,9.08485,17,0.0923913043478261
0.545,9.1,14,0.0760869565217391
0.56,8.1,3,0.016304347826087
0.56,8.11515,8,0.0434782608695652
0.56,8.1303,5,0.0271739130434783
0.56,8.14545,6,0.0326086956521739
0.56,8.1606,6,0.0326086956521739
0.56,8.17575,5,0.0271739130434783
0.56,8.1909,11,0.0597826086956522
0.56,8.20605,7,0.0380434782608696
0.56,8.2212,9,0.0489130434782609
0.56,8.23635,7,0.0380434782608696
0.56,8.2515,8,0.0434782608695652
0.56,8.26665,6,0.0326086956521739
0.56,8.2818,11,0.0597826086956522
0.56,8.29695,6,0.0326086956521739
0.56,8.3121,3,0.016304347826087
0.56,8.32725,5,0.0271739130434783
0.56,8.3424,4,0.0217391304347826
0.56,8.3576,6,0.0326086956521739
0.56,8.37275,5,0.0271739130434783
0.56,8.3879,6,0.0326086956521739
0.56,8.40305,5,0.0271739130434783
0.56,8.4182,7,0.0380434782608696
0.56,8.43335,8,0.0434782608695652
0.56,8.4485,5,0.0271739130434783
0.56,8.46365,7,0.0380434782608696
0.56,8.4788,10,0.0543478260869565
0.56,8.49395,9,0.0489130434782609
0.56,8.5091,9,0.0489130434782609
0.56,8.52425,8,0.0434782608695652
0.56,8.5394,7,0.0380434782608696
0.56,8.55455,5,0.0271739130434783
0.56,8.5697,11,0.0597826086956522
0.56,8.58485,17,0.0923913043478261
0.56,8.6,16,0.0869565217391304
0.56,8.61515,10,0.0543478260869565
0.56,8.6303,18,0.0978260869565217
0.56,8.64545,18,0.0978260869565217
0.56,8.6606,6,0.0326086956521739
0.56,8.67575,9,0.0489130434782609
0.56,8.6909,14,0.0760869565217391
0.56,8.70605,4,0.0217391304347826
0.56,8.7212,11,0.0597826086956522
0.56,8.73635,10,0.0543478260869565
0.56,8.7515,3,0.016304347826087
0.56,8.76665,12,0.0652173913043478
0.56,8.7818,15,0.0815217391304348
0.56,8.79695,7,0.0380434782608696
0.56,8.8121,15,0.0815217391304348
0.56,8.82725,7,0.0380434782608696
0.56,8.8424,9,0.0489130434782609
0.56,8.8576,19,0.103260869565217
0.56,8.87275,25,0.135869565217391
0.56,8.8879,24,0.130434782608696
0.56,8.90305,30,0.16304347826087
0.56,8.9182,29,0.157608695652174
0.56,8.93335,26,0.141304347826087
0.56,8.9485,29,0.157608695652174
0.56,8.96365,21,0.114130434782609
0.56,8.9788,15,0.0815217391304348
0.56,8.99395,9,0.0489130434782609
0.56,9.0091,10,0.0543478260869565
0.56,9.02425,5,0.0271739130434783
0.56,9.0394,14,0.0760869565217391
0.56,9.05455,6,0.0326086956521739
0.56,9.0697,11,0.0597826086956522
0.56,9.08485,11,0.0597826086956522
0.56,9.1,10,0.0543478260869565
0.575,8.1,6,0.0326086956521739
0.575,8.11515,8,0.0434782608695652
0.575,8.1303,6,0.0326086956521739
0.575,8.14545,10,0.0543478260869565
0.575,8.1606,3,0.016304347826087
0.575,8.17575,6,0.0326086956521739
0.575,8.1909,3,0.016304347826087
0.575,8.20605,5,0.0271739130434783
0.575,8.2212,3,0.016304347826087
0.575,8.23635,8,0.0434782608695652
0.575,8.2515,5,0.0271739130434783
0.575,8.26665,7,0.0380434782608696
0.575,8.2818,5,0.0271739130434783
0.575,8.29695,5,0.0271739130434783
0.575,8.3121,6,0.0326086956521739
0.575,8.32725,7,0.0380434782608696
0.575,8.3424,3,0.016304347826087
0.575,8.3576,4,0.0217391304347826
0.575,8.37275,5,0.0271739130434783
0.575,8.3879,6,0.0326086956521739
0.575,8.40305,10,0.0543478260869565
0.575,8.4182,6,0.0326086956521739
0.575,8.43335,5,0.0271739130434783
0.575,8.4485,7,0.0380434782608696
0.575,8.46365,8,0.0434782608695652
0.575,8.4788,15,0.0815217391304348
0.575,8.49395,4,0.0217391304347826
0.575,8.5091,10,0.0543478260869565
0.575,8.52425,7,0.0380434782608696
0.575,8.5394,12,0.0652173913043478
0.575,8.55455,30,0.16304347826087
0.575,8.5697,21,0.114130434782609
0.575,8.58485,24,0.130434782608696
0.575,8.6,32,0.173913043478261
0.575,8.61515,26,0.141304347826087
0.575,8.6303,29,0.157608695652174
0.575,8.64545,45,0.244565217391304
0.575,8.6606,22,0.119565217391304
0.575,8.67575,25,0.135869565217391
0.575,8.6909,19,0.103260869565217
0.575,8.70605,14,0.0760869565217391
0.575,8.7212,20,0.108695652173913
0.575,8.73635,19,0.103260869565217
0.575,8.7515,15,0.0815217391304348
0.575,8.76665,20,0.108695652173913
0.575,8.7818,14,0.0760869565217391
0.575,8.79695,9,0.0489130434782609
0.575,8.8121,15,0.0815217391304348
0.575,8.82725,17,0.0923913043478261
0.575,8.8424,16,0.0869565217391304
0.575,8.8576,8,0.0434782608695652
0.575,8.87275,21,0.114130434782609
0.575,8.8879,28,0.152173913043478
0.575,8.90305,27,0.146739130434783
0.575,8.9182,28,0.152173913043478
0.575,8.93335,28,0.152173913043478
0.575,8.9485,21,0.114130434782609
0.575,8.96365,26,0.141304347826087
