Velocity,NormIntensity
mm/s,a.u.
-4.6803,0.80089
-4.6681,0.77676
-4.656,0.75074
-4.6439,0.72307
-4.6318,0.69408
-4.6196,0.66415
-4.6075,0.63373
-4.5954,0.60331
-4.5832,0.57338
-4.5711,0.54448
-4.559,0.51713
-4.5469,0.49182
-4.5347,0.469
-4.5226,0.4491
-4.5105,0.43246
-4.4984,0.41934
-4.4863,0.40992
-4.4741,0.40429
-4.462,0.40244
-4.4499,0.40425
-4.4378,0.40956
-4.4256,0.41809
-4.4135,0.42954
-4.4014,0.44355
-4.3892,0.45977
-4.3771,0.4778
-4.365,0.49728
-4.3529,0.51785
-4.3407,0.53916
-4.3286,0.56089
-4.3165,0.58274
-4.3044,0.60445
-4.2923,0.62575
-4.2801,0.64643
-4.268,0.66628
-4.2559,0.6851
-4.2438,0.70273
-4.2316,0.71902
-4.2195,0.73382
-4.2074,0.74702
-4.1952,0.75851
-4.1831,0.76818
-4.171,0.77596
-4.1589,0.78178
-4.1467,0.78557
-4.1346,0.7873
-4.1225,0.78695
-4.1104,0.78453
-4.0983,0.78005
-4.0861,0.77355
-4.074,0.76513
-4.0619,0.75487
-4.0498,0.74291
-4.0376,0.72939
-4.0255,0.71452
-4.0134,0.69848
-4.0012,0.68151
-3.9891,0.66385
-3.977,0.64576
-3.9649,0.62751
-3.9527,0.60937
-3.9406,0.59161
-3.9285,0.57451
-3.9164,0.55832
-3.9043,0.5433
-3.8921,0.52967
-3.88,0.51765
-3.8679,0.50743
-3.8558,0.49916
-3.8436,0.49297
-3.8315,0.48895
-3.8194,0.48716
-3.8072,0.48761
-3.7951,0.4903
-3.783,0.49517
-3.7709,0.50213
-3.7588,0.51106
-3.7466,0.52183
-3.7345,0.53425
-3.7224,0.54816
-3.7102,0.56335
-3.6981,0.57962
-3.686,0.59677
-3.6739,0.61459
-3.6618,0.63289
-3.6496,0.65148
-3.6375,0.67018
-3.6254,0.68884
-3.6132,0.7073
-3.6011,0.72544
-3.589,0.74316
-3.5769,0.76034
-3.5648,0.77691
-3.5526,0.79281
-3.5405,0.80799
-3.5284,0.8224
-3.5162,0.83603
