Velocity,NormIntensity
mm/s,a.u.
3.2738,0.99855
3.2859,0.99857
3.298,0.99859
3.3101,0.9986
3.3222,0.99862
3.3344,0.99863
3.3465,0.99865
3.3586,0.99866
3.3708,0.99868
3.3829,0.99869
3.395,0.99871
3.4071,0.99872
3.4192,0.99873
3.4314,0.99875
3.4435,0.99876
3.4556,0.99878
3.4678,0.99879
3.4799,0.9988
3.492,0.99882
3.5041,0.99883
3.5162,0.99884
3.5284,0.99885
3.5405,0.99887
3.5526,0.99888
3.5648,0.99889
3.5769,0.9989
3.589,0.99892
3.6011,0.99893
3.6132,0.99894
3.6254,0.99895
3.6375,0.99896
3.6496,0.99897
3.6618,0.99898
3.6739,0.999
3.686,0.99901
3.6981,0.99902
3.7102,0.99903
3.7224,0.99904
3.7345,0.99905
3.7466,0.99906
3.7588,0.99907
3.7709,0.99908
3.783,0.99909
3.7951,0.9991
3.8072,0.99911
3.8194,0.99912
3.8315,0.99913
3.8436,0.99914
3.8558,0.99915
3.8679,0.99916
3.88,0.99917
3.8921,0.99918
3.9043,0.99919
3.9164,0.9992
3.9285,0.99921
3.9406,0.99921
3.9527,0.99922
3.9649,0.99923
3.977,0.99924
3.9891,0.99925
4.0012,0.99926
4.0134,0.99927
4.0255,0.99927
4.0376,0.99928
4.0498,0.99929
4.0619,0.9993
4.074,0.99931
4.0861,0.99931
4.0983,0.99932
4.1104,0.99933
4.1225,0.99934
4.1346,0.99934
4.1467,0.99935
4.1589,0.99936
4.171,0.99937
4.1831,0.99937
4.1952,0.99938
4.2074,0.99939
4.2195,0.9994
4.2316,0.9994
4.2438,0.99941
4.2559,0.99942
4.268,0.99942
4.2801,0.99943
4.2923,0.99944
4.3044,0.99944
4.3165,0.99945
4.3286,0.99946
4.3407,0.99946
4.3529,0.99947
4.365,0.99948
4.3771,0.99948
4.3892,0.99949
4.4014,0.9995
4.4135,0.9995
4.4256,0.99951
4.4378,0.99951
4.4499,0.99952
4.462,0.99953
4.4741,0.99953
4.4863,0.99954
4.4984,0.99954
4.5105,0.99955
4.5226,0.99956
4.5347,0.99956
4.5469,0.99957
4.559,0.99957
4.5711,0.99958
4.5832,0.99958
4.5954,0.99959
4.6075,0.99959
4.6196,0.9996
4.6318,0.9996
4.6439,0.99961
4.656,0.99962
4.6681,0.99962
4.6803,0.99963
4.6924,0.99963
4.7045,0.99964
4.7166,0.99964
4.7287,0.99965
4.7409,0.99965
4.753,0.99966
4.7651,0.99966
4.7773,0.99966
4.7894,0.99967
4.8015,0.99967
4.8136,0.99968
4.8258,0.99968
4.8379,0.99969
4.85,0.99969
4.8621,0.9997
4.8742,0.9997
4.8864,0.99971
4.8985,0.99971
4.9106,0.99972
4.9227,0.99972
4.9349,0.99972
4.947,0.99973
4.9591,0.99973
4.9713,0.99974
4.9834,0.99974
4.9955,0.99975
5.0076,0.99975
5.0198,0.99975
5.0319,0.99976
5.044,0.99976
5.0561,0.99977
5.0682,0.99977
5.0804,0.99977
5.0925,0.99978
5.1046,0.99978
5.1167,0.99979
5.1289,0.99979
5.141,0.99979
5.1531,0.9998
5.1653,0.9998
5.1774,0.9998
5.1895,0.99981
5.2016,0.99981
5.2138,0.99982
5.2259,0.99982
5.238,0.99982
5.2501,0.99983
5.2622,0.99983
5.2744,0.99983
5.2865,0.99984
5.2986,0.99984
5.3107,0.99984
5.3229,0.99985
5.335,0.99985
5.3471,0.99985
5.3593,0.99986
5.3714,0.99986
5.3835,0.99986
5.3956,0.99987
5.4078,0.99987
5.4199,0.99987
5.432,0.99988
5.4441,0.99988
5.4562,0.99988
5.4684,0.99989
5.4805,0.99989
5.4926,0.99989
5.5047,0.9999
5.5169,0.9999
5.529,0.9999
5.5411,0.99991
5.5533,0.99991
5.5654,0.99991
5.5775,0.99991
5.5896,0.99992
5.6018,0.99992
5.6139,0.99992
5.626,0.99993
5.6381,0.99993
5.6502,0.99993
5.6624,0.99993
5.6745,0.99994
5.6866,0.99994
5.6988,0.99994
5.7109,0.99995
5.723,0.99995
5.7351,0.99995
5.7473,0.99995
5.7594,0.99996
5.7715,0.99996
5.7836,0.99996
5.7957,0.99996
5.8079,0.99997
5.82,0.99997
