Twotheta,NormalizedIntensity
degrees,a.u.
14.0753,0.43016
14.1007,0.43631
14.1263,0.44023
14.1517,0.44715
14.1773,0.45348
14.2027,0.4593
14.2282,0.4649
14.2538,0.47001
14.2792,0.47057
14.3048,0.47552
14.3302,0.47548
14.3558,0.47887
14.3812,0.48044
14.4068,0.48278
14.4322,0.48359
14.4578,0.48844
14.4832,0.4917
14.5087,0.49611
14.5343,0.49905
14.5597,0.50556
14.5853,0.51054
14.6107,0.51768
14.6363,0.52627
14.6617,0.5337
14.6873,0.54272
14.7127,0.5544
14.7383,0.56197
14.7637,0.57622
14.7892,0.58679
14.8148,0.60109
14.8402,0.60999
14.8658,0.63013
14.8912,0.64058
14.9168,0.66014
14.9422,0.66878
14.9678,0.69078
14.9932,0.70336
15.0188,0.72512
15.0442,0.74222
15.0698,0.76253
15.0953,0.77909
15.1207,0.79966
15.1463,0.82071
15.1717,0.83718
15.1973,0.85543
15.2227,0.87579
15.2483,0.89333
15.2737,0.913
15.2993,0.92551
15.3247,0.94011
15.3503,0.95743
15.3758,0.96338
15.4012,0.97743
15.4268,0.98272
15.4522,0.99439
15.4778,0.99508
15.5032,0.99951
15.5288,0.99532
15.5542,1
15.5798,0.98321
15.6052,0.98786
15.6308,0.96817
15.6562,0.96875
15.6817,0.94968
15.7073,0.94142
15.7327,0.92334
15.7583,0.90837
15.7837,0.89232
15.8093,0.87637
15.8347,0.86035
15.8603,0.84406
15.8857,0.82974
15.9113,0.81105
15.9367,0.79622
15.9622,0.77954
15.9878,0.77117
16.0132,0.75316
16.0388,0.74671
16.0643,0.73277
16.0897,0.72322
16.1152,0.71355
16.1408,0.70664
16.1663,0.69886
16.1917,0.69214
16.2172,0.68742
16.2428,0.68153
16.2682,0.6758
16.2937,0.6712
16.3193,0.66937
16.3448,0.66266
16.3702,0.66175
16.3957,0.65786
16.4213,0.65897
16.4468,0.6555
16.4722,0.65527
16.4977,0.65252
16.5233,0.65244
16.5487,0.65085
16.5742,0.65027
16.5998,0.64888
16.6253,0.64708
16.6507,0.64696
16.6762,0.64528
16.7018,0.64664
16.7273,0.64238
16.7527,0.64263
16.7782,0.63867
16.8038,0.63895
16.8292,0.63458
16.8547,0.63515
16.8803,0.63153
16.9058,0.62846
16.9312,0.62673
16.9567,0.62038
16.9823,0.6184
17.0078,0.61465
17.0332,0.61381
17.0587,0.60889
17.0843,0.60705
17.1097,0.60247
17.1352,0.60226
17.1608,0.59615
17.1863,0.59214
17.2117,0.59037
17.2372,0.58697
17.2628,0.58562
17.2883,0.58255
17.3137,0.58066
17.3392,0.57834
17.3648,0.57736
17.3903,0.57381
17.4157,0.57152
17.4413,0.57105
17.4668,0.56775
17.4922,0.56747
17.5177,0.56639
17.5433,0.56491
17.5688,0.56401
17.5942,0.56416
17.6197,0.5638
17.6453,0.56262
17.6708,0.56259
17.6962,0.56304
17.7218,0.56285
17.7473,0.56234
17.7727,0.56147
17.7982,0.56058
17.8238,0.56252
17.8493,0.56297
17.8747,0.55953
17.9002,0.5602
17.9258,0.55993
17.9513,0.56044
17.9767,0.56004
18.0023,0.56022
18.0278,0.56073
18.0532,0.5605
18.0787,0.56151
18.1043,0.55952
18.1298,0.56083
18.1552,0.56028
18.1807,0.56036
18.2063,0.56123
18.2318,0.56047
18.2572,0.55881
18.2828,0.5586
18.3083,0.5568
18.3337,0.55709
18.3592,0.55699
18.3848,0.55581
18.4103,0.55727
18.4357,0.55698
18.4612,0.55419
18.4868,0.55286
18.5123,0.55292
18.5377,0.55434
18.5633,0.55275
18.5888,0.55207
18.6142,0.55097
18.6397,0.54882
18.6653,0.54781
18.6908,0.54604
18.7162,0.54517
18.7417,0.5435
18.7673,0.54206
18.7928,0.54058
18.8182,0.53733
18.8438,0.53671
18.8693,0.53643
18.8947,0.53226
18.9202,0.53054
18.9458,0.52767
18.9713,0.52502
18.9967,0.52415
19.0222,0.52073
19.0478,0.51868
19.0733,0.51556
19.0987,0.51338
19.1242,0.51158
19.1498,0.50836
19.1752,0.50642
19.2007,0.50455
19.2263,0.50164
19.2518,0.5001
19.2772,0.49842
19.3027,0.49468
19.3283,0.49223
19.3538,0.49272
19.3792,0.49014
19.4047,0.48843
19.4303,0.48765
19.4557,0.48539
19.4812,0.4841
19.5068,0.48326
19.5323,0.48248
19.5577,0.48243
19.5832,0.47969
19.6088,0.4803
19.6343,0.47921
19.6597,0.47748
19.6852,0.48053
19.7108,0.47882
19.7362,0.47992
19.7617,0.47769
19.7873,0.47831
19.8128,0.47856
19.8382,0.47772
19.8637,0.47966
19.8893,0.4799
19.9148,0.48023
19.9402,0.48176
19.9657,0.48299
19.9913,0.48517
20.0167,0.48271
20.0422,0.48419
20.0678,0.4875
20.0933,0.4877
20.1187,0.48957
20.1442,0.4876
20.1698,0.4901
20.1953,0.49139
20.2207,0.49094
20.2462,0.49156
20.2718,0.49457
20.2972,0.4929
20.3227,0.49514
20.3483,0.49576
20.3738,0.49642
20.3992,0.49676
20.4247,0.49871
20.4503,0.50044
20.4758,0.49818
20.5012,0.50105
20.5267,0.49923
