Velocity,NormIntensity,NormIntensityFit
mm s^{-1},a.u.,a.u.
0.56888,0.23687,0.23505
0.58845,0.23878,0.20516
0.60802,0.16419,0.17421
0.62759,0.11929,0.14334
0.64716,0.096953,0.1138
0.66673,0.11871,0.086981
0.6863,0.062075,0.064165
0.70587,0.040519,0.046487
0.72544,0.038001,0.034702
0.74501,0.081617,0.029036
0.76458,0.025711,0.029262
0.78415,0,0.034626
0.80372,0.018484,0.044221
0.82329,0.052455,0.056938
0.84286,0.058021,0.071821
0.86242,0.072904,0.088189
0.88199,0.13543,0.10567
0.90156,0.11388,0.12415
0.92113,0.1133,0.14392
0.9407,0.17625,0.16532
0.96027,0.22458,0.18874
0.97984,0.21561,0.21445
0.99941,0.2866,0.24258
1.019,0.29557,0.27295
1.0386,0.32465,0.30514
1.0581,0.35535,0.3386
1.0777,0.36545,0.37268
1.0973,0.42601,0.40672
1.1168,0.43221,0.44014
1.1364,0.46913,0.47248
1.156,0.48683,0.50332
1.1755,0.5384,0.53249
1.1951,0.55686,0.55983
1.2147,0.5554,0.58532
1.2342,0.5621,0.60894
1.2538,0.61471,0.63075
1.2734,0.62571,0.65084
1.293,0.66235,0.66935
1.3125,0.65807,0.68638
1.3321,0.67459,0.70204
1.3517,0.71325,0.71644
1.3712,0.73543,0.72969
1.3908,0.7723,0.74188
1.4104,0.75155,0.75314
1.4299,0.77678,0.76354
1.4495,0.76872,0.77313
1.4691,0.77817,0.78202
1.4887,0.80909,0.79025
1.5082,0.803,0.79791
1.5278,0.84702,0.80501
1.5474,0.79892,0.81163
1.5669,0.82108,0.8178
1.5865,0.83777,0.82355
1.6061,0.86066,0.82893
1.6256,0.85062,0.834
1.6452,0.80295,0.83871
1.6648,0.86205,0.84316
1.6843,0.84558,0.84732
1.7039,0.88215,0.85125
1.7235,0.86835,0.85495
1.743,0.90242,0.85845
1.7626,0.86774,0.86172
1.7822,0.87572,0.86485
1.8018,0.86258,0.86779
1.8213,0.86855,0.87059
1.8409,0.89436,0.87323
1.8605,0.8899,0.87575
1.88,0.90277,0.87814
1.8996,0.90317,0.88041
1.9192,0.89239,0.88257
1.9387,0.86208,0.88464
1.9583,0.87482,0.8866
1.9779,0.90191,0.88847
1.9974,0.93387,0.89025
2.017,0.90635,0.89197
2.0366,0.8795,0.8936
2.0562,0.90345,0.89516
2.0757,0.88346,0.89668
2.0953,0.92579,0.89811
2.1149,0.904,0.89947
2.1344,0.88648,0.90081
2.154,0.92594,0.90206
2.1736,0.8971,0.90327
2.1932,0.89086,0.90446
2.2127,0.90735,0.90559
2.2323,0.9178,0.90667
2.2519,0.92836,0.90771
2.2714,0.92697,0.90871
2.291,0.90126,0.90967
2.3106,0.91038,0.9106
2.3301,0.8966,0.91151
2.3497,0.94052,0.91239
2.3693,0.90612,0.91322
2.3888,0.91458,0.91403
2.4084,0.8933,0.91481
2.428,0.94168,0.91556
2.4476,0.91629,0.91629
2.4671,0.92244,0.917
2.4867,0.90408,0.9177
2.5063,0.91911,0.91836
2.5258,0.95165,0.91901
2.5454,0.90232,0.91962
2.565,0.90614,0.92022
2.5845,0.91581,0.92083
2.6041,0.90456,0.92138
2.6237,0.93521,0.92193
2.6433,0.95719,0.92246
2.6628,0.93022,0.92299
2.6824,0.94027,0.9235
2.702,0.8961,0.92397
2.7215,0.91866,0.92445
2.7411,0.89469,0.92493
2.7607,0.93286,0.92536
2.7802,0.89129,0.92581
2.7998,0.92254,0.92624
2.8194,0.92823,0.92664
2.8389,0.94422,0.92705
2.8585,0.93092,0.92745
2.8781,0.95266,0.92783
2.8977,0.94785,0.9282
2.9172,0.88968,0.92856
2.9368,0.90685,0.92891
2.9564,0.94543,0.92926
2.9759,0.93662,0.92959
2.9955,0.91904,0.92992
3.0151,0.92763,0.93024
3.0346,0.93113,0.93055
3.0542,0.91959,0.93085
3.0738,0.92322,0.93115
