e         norm        nbkg        flat        fbkg        nder        nsec
  7110.2983       0.20134318E-01   0.20134318E-01   0.20134318E-01   0.20134318E-01   0.10004307E-01   0.10617748E-01
  7110.3963       0.21107179E-01   0.21107178E-01   0.21107178E-01   0.21107178E-01   0.96757289E-02   0.14910180E-02
  7110.4977       0.22063736E-01   0.22063735E-01   0.22063735E-01   0.22063735E-01   0.10301628E-01   0.83267090E-02
  7110.5974       0.23178311E-01   0.23178310E-01   0.23178310E-01   0.23178310E-01   0.11349805E-01   0.37408511E-03
  7110.6971       0.24327114E-01   0.24327113E-01   0.24327113E-01   0.24327113E-01   0.10376228E-01  -0.18245552E-02
  7110.8001       0.25281520E-01   0.25281520E-01   0.25281520E-01   0.25281520E-01   0.10979977E-01   0.10758781E-01
  7110.9014       0.26570719E-01   0.26570718E-01   0.26570718E-01   0.26570718E-01   0.12574634E-01   0.11085153E-01
  7111.0011       0.27809927E-01   0.27809926E-01   0.27809926E-01   0.27809926E-01   0.13208891E-01   0.11609524E-01
  7111.1009       0.29205140E-01   0.29205139E-01   0.29205139E-01   0.29205139E-01   0.14890072E-01   0.12134554E-01
  7111.2006       0.30779737E-01   0.30779736E-01   0.30779736E-01   0.30779736E-01   0.15629116E-01   0.12031232E-01
  7111.2987       0.32296892E-01   0.32296890E-01   0.32296890E-01   0.32296890E-01   0.17270091E-01   0.20514176E-01
  7111.3968       0.34167974E-01   0.34167972E-01   0.34167972E-01   0.34167972E-01   0.19653812E-01   0.19653820E-01
  7111.4981       0.36217179E-01   0.36217177E-01   0.36217177E-01   0.36217177E-01   0.21190379E-01   0.17096585E-01
  7111.5995       0.38464154E-01   0.38464152E-01   0.38464152E-01   0.38464152E-01   0.23120008E-01   0.22140725E-01
  7111.6993       0.40866913E-01   0.40866911E-01   0.40866911E-01   0.40866911E-01   0.25643167E-01   0.30506484E-01
  7111.7990       0.43579581E-01   0.43579579E-01   0.43579579E-01   0.43579579E-01   0.29205594E-01   0.22199329E-01
  7111.8988       0.46693137E-01   0.46693135E-01   0.46693135E-01   0.46693135E-01   0.30071711E-01   0.56923715E-02
  7112.0018       0.49677101E-01   0.49677099E-01   0.49677099E-01   0.49677099E-01   0.30359814E-01   0.10621482E-01
  7112.1048       0.52948564E-01   0.52948562E-01   0.52948562E-01   0.52948562E-01   0.32260193E-01   0.11693450E-01
  7112.2013       0.56113268E-01   0.56113266E-01   0.56113266E-01   0.56113266E-01   0.32692751E-01  -0.61685174E-02
  7112.2978       0.59257349E-01   0.59257347E-01   0.59257347E-01   0.59257347E-01   0.31069842E-01  -0.21550939E-01
  7112.3992       0.62261492E-01   0.62261490E-01   0.62261490E-01   0.62261490E-01   0.28428165E-01  -0.31033421E-01
  7112.4989       0.64975987E-01   0.64975985E-01   0.64975985E-01   0.64975985E-01   0.24827128E-01  -0.42554492E-01
  7112.6003       0.67255866E-01   0.67255864E-01   0.67255864E-01   0.67255864E-01   0.19867648E-01  -0.48710370E-01
  7112.7017       0.69005305E-01   0.69005303E-01   0.69005303E-01   0.69005303E-01   0.14948275E-01  -0.45317852E-01
  7112.8015       0.70263130E-01   0.70263128E-01   0.70263128E-01   0.70263128E-01   0.10750693E-01  -0.38697113E-01
  7112.9029       0.71168173E-01   0.71168170E-01   0.71168170E-01   0.71168170E-01   0.71630352E-02  -0.31789608E-01
  7113.0011       0.71692550E-01   0.71692547E-01   0.71692547E-01   0.71692547E-01   0.44069175E-02  -0.31987900E-01
  7113.1008       0.72040407E-01   0.72040405E-01   0.72040405E-01   0.72040405E-01   0.83186213E-03  -0.30711718E-01
  7113.2006       0.71858561E-01   0.71858559E-01   0.71858559E-01   0.71858559E-01  -0.17220972E-02  -0.19331349E-01
  7113.2988       0.71699542E-01   0.71699540E-01   0.71699540E-01   0.71699540E-01  -0.29945078E-02  -0.10980625E-01
  7113.4002       0.71260923E-01   0.71260921E-01   0.71260921E-01   0.71260921E-01  -0.39135883E-02  -0.18307569E-01
