e         norm        nbkg        flat        fbkg        nder        nsec
  7110.0939       0.22991266E-01   0.22991264E-01   0.22991264E-01   0.22991264E-01   0.91277587E-02   0.10466546E-01
  7110.1936       0.24013435E-01   0.24013433E-01   0.24013433E-01   0.24013433E-01   0.98688235E-02   0.63609813E-02
  7110.2949       0.24975205E-01   0.24975203E-01   0.24975203E-01   0.24975203E-01   0.10406513E-01   0.89526326E-02
  7110.3946       0.26105519E-01   0.26105517E-01   0.26105517E-01   0.26105517E-01   0.11668625E-01   0.13618773E-01
  7110.4960       0.27321089E-01   0.27321086E-01   0.27321086E-01   0.27321086E-01   0.13144458E-01   0.91212082E-02
  7110.6006       0.28812646E-01   0.28812644E-01   0.28812644E-01   0.28812644E-01   0.13547156E-01  -0.25625461E-02
  7110.7019       0.30111247E-01   0.30111245E-01   0.30111245E-01   0.30111245E-01   0.12616679E-01  -0.99546289E-03
  7110.8000       0.31328740E-01   0.31328738E-01   0.31328738E-01   0.31328738E-01   0.13348635E-01   0.93503298E-02
  7110.8965       0.32707917E-01   0.32707915E-01   0.32707915E-01   0.32707915E-01   0.14435571E-01   0.72041584E-02
  7110.9978       0.34184139E-01   0.34184137E-01   0.34184136E-01   0.34184137E-01   0.14773639E-01   0.59351859E-02
  7111.1008       0.35726881E-01   0.35726878E-01   0.35726878E-01   0.35726878E-01   0.15648414E-01   0.16341347E-02
  7111.1989       0.37330785E-01   0.37330782E-01   0.37330782E-01   0.37330782E-01   0.15102237E-01   0.43501638E-02
  7111.2986       0.38714405E-01   0.38714402E-01   0.38714402E-01   0.38714402E-01   0.16508963E-01   0.17918868E-01
  7111.3984       0.40623679E-01   0.40623676E-01   0.40623676E-01   0.40623676E-01   0.18676353E-01   0.11211701E-01
  7111.4932       0.42348095E-01   0.42348092E-01   0.42348092E-01   0.42348092E-01   0.18690323E-01   0.16130303E-01
  7111.5946       0.44290758E-01   0.44290754E-01   0.44290754E-01   0.44290754E-01   0.21841150E-01   0.26190557E-01
  7111.6992       0.46847787E-01   0.46847783E-01   0.46847783E-01   0.46847783E-01   0.24086075E-01   0.22769846E-01
  7111.7989       0.49213687E-01   0.49213683E-01   0.49213683E-01   0.49213683E-01   0.26495056E-01   0.24599843E-01
  7111.8987       0.52133286E-01   0.52133282E-01   0.52133282E-01   0.52133282E-01   0.28993498E-01   0.22349608E-01
  7111.9935       0.54855532E-01   0.54855527E-01   0.54855527E-01   0.54855527E-01   0.30844067E-01   0.15652677E-01
  7112.0917       0.58084957E-01   0.58084952E-01   0.58084952E-01   0.58084952E-01   0.32013839E-01   0.35012109E-02
  7112.1947       0.61294891E-01   0.61294886E-01   0.61294886E-01   0.61294886E-01   0.31548311E-01  -0.18793969E-02
  7112.2961       0.64534031E-01   0.64534026E-01   0.64534026E-01   0.64534026E-01   0.31629654E-01  -0.11258035E-01
  7112.3991       0.67760783E-01   0.67760778E-01   0.67760778E-01   0.67760778E-01   0.29246887E-01  -0.24873090E-01
  7112.5005       0.70513031E-01   0.70513025E-01   0.70513025E-01   0.70513025E-01   0.26544799E-01  -0.30830296E-01
  7112.6003       0.73100721E-01   0.73100715E-01   0.73100715E-01   0.73100715E-01   0.23044849E-01  -0.42375320E-01
  7112.7033       0.75186711E-01   0.75186704E-01   0.75186704E-01   0.75186704E-01   0.17950745E-01  -0.40026085E-01
  7112.8064       0.76800100E-01   0.76800094E-01   0.76800094E-01   0.76800094E-01   0.14796073E-01  -0.41536752E-01
  7112.9029       0.78139237E-01   0.78139231E-01   0.78139231E-01   0.78139231E-01   0.96621688E-02  -0.45792837E-01
  7112.9994       0.78665015E-01   0.78665008E-01   0.78665008E-01   0.78665008E-01   0.59575062E-02  -0.28196541E-01
  7113.1024       0.79328123E-01   0.79328117E-01   0.79328117E-01   0.79328117E-01   0.40352388E-02  -0.24349777E-01
  7113.2038       0.79490112E-01   0.79490105E-01   0.79490105E-01   0.79490105E-01   0.97863429E-03  -0.27220134E-01
  7113.2987       0.79520229E-01   0.79520222E-01   0.79520222E-01   0.79520222E-01  -0.13080735E-02  -0.24595287E-01
  7113.3952       0.79239749E-01   0.79239743E-01   0.79239743E-01   0.79239743E-01  -0.37288544E-02  -0.25053032E-01
  7113.4967       0.78782110E-01   0.78782103E-01   0.78782103E-01   0.78782103E-01  -0.62672710E-02  -0.25159936E-01
  7113.5981       0.77968358E-01   0.77968352E-01   0.77968352E-01   0.77968352E-01  -0.88328494E-02  -0.19670009E-01
  7113.7012       0.76975766E-01   0.76975759E-01   0.76975759E-01   0.76975759E-01  -0.10289847E-01  -0.21892020E-01
  7113.7993       0.75897660E-01   0.75897654E-01   0.75897654E-01   0.75897654E-01  -0.13238334E-01  -0.25940553E-01
  7113.9008       0.74333302E-01   0.74333295E-01   0.74333295E-01   0.74333295E-01  -0.15467763E-01  -0.18245547E-01
  7114.0039       0.72734178E-01   0.72734172E-01   0.72734172E-01   0.72734172E-01  -0.16969931E-01  -0.18548449E-01
  7114.0988       0.70973561E-01   0.70973555E-01   0.70973555E-01   0.70973555E-01  -0.19140022E-01  -0.13747125E-01
  7114.1937       0.69101268E-01   0.69101262E-01   0.69101262E-01   0.69101262E-01  -0.19579232E-01  -0.19968172E-02
