   e         norm        nbkg        flat        fbkg        nder        nsec
  7185.9092       0.95571753       0.92675957       0.96058131       0.93162338       0.15157056E-03  -0.10868488E-03
  7190.6499       0.95501958       0.93037591       0.96093157       0.93628793      -0.22361040E-03  -0.77873502E-04
  7195.5621       0.95355904       0.93379521       0.96065776       0.94089396      -0.60013309E-03  -0.75719058E-04
  7200.6457       0.94902078       0.93686555       0.95745547       0.94530027      -0.98048143E-03  -0.25402005E-04
  7205.9007       0.94342216       0.93956202       0.95335315       0.94949304      -0.86275625E-03   0.67343207E-05
  7211.3273       0.93980519       0.94186441       0.95140428       0.95346353      -0.90854826E-03   0.12615067E-04
  7216.9252       0.93340589       0.94375634       0.94685674       0.95720721      -0.72368175E-03   0.51125124E-04
  7222.6946       0.93157882       0.94522562       0.94707729       0.96072411      -0.32738986E-03   0.39462369E-04
  7228.6355       0.92957207       0.94626475       0.94732661       0.96401932      -0.26156666E-03   0.40887946E-04
  7234.7478       0.92842612       0.94687135       0.94865817       0.96710342       0.16543955E-03   0.76541277E-04
  7241.0316       0.93162287       0.94704863       0.95456719       0.96999298       0.68724435E-03   0.57180198E-04
  7247.4868       0.93718090       0.94680588       0.96308598       0.97271099       0.89385627E-03   0.36821269E-04
  7254.1134       0.94331618       0.94615896       0.97244458       0.97528740       0.11689353E-02  -0.34664173E-04
  7260.9115       0.95287358       0.94513082       0.98550236       0.97775963       0.42849788E-03  -0.63310898E-04
  7275.0221       0.95227550       0.94206125       0.99279584       0.98258163      -0.15481137E-03  -0.41482701E-04
  7282.3346       0.94955706       0.94010376       0.99449940       0.98504613      -0.46018676E-03  -0.32565236E-04
  7289.8185       0.94546641       0.93788595       0.99516939       0.98758896      -0.63665831E-03  -0.18589193E-04
  7297.4738       0.93991852       0.93536952       0.99473710       0.99018813      -0.74161335E-03  -0.88045981E-05
  7305.3006       0.93398463       0.93251063       0.99429050       0.99281652      -0.77297248E-03   0.28455112E-05
  7313.2989       0.92768619       0.92926144       0.99386809       0.99544338      -0.69658298E-03   0.13372444E-04
  7321.4686       0.92272231       0.92556991       0.99518648       0.99803410      -0.55676742E-03   0.91186914E-05
  7329.8097       0.91849348       0.92137957       0.99766396        1.0005501      -0.54602561E-03  -0.21733929E-05
  7338.3223       0.91351973       0.91662934       0.99983878        1.0029484      -0.59339724E-03   0.63352047E-06
  7347.0064       0.90828904       0.91125332        1.0022175        1.0051818      -0.53513118E-03   0.46802690E-06
  7355.8619       0.90413377       0.90518052        1.0061514        1.0071982      -0.58518826E-03  -0.13577444E-04
  7364.8888       0.89782444       0.89833471        1.0084304        1.0089407      -0.77792909E-03  -0.16097591E-04
  7374.0872       0.88995575       0.89063413        1.0096689        1.0103473      -0.87857241E-03  -0.10655645E-04
  7383.4571       0.88151090       0.88199131        1.0108700        1.0113505      -0.97578572E-03  -0.95923348E-05
  7392.9984       0.87150253       0.87231278        1.0110671        1.0118774      -0.10599744E-02  -0.88060407E-05
  7402.7111       0.86110210       0.86149951        1.0114522        1.0118496      -0.11453376E-02  -0.10942784E-04
  7412.5953       0.84905741       0.84949424        1.0107945        1.0112313      -0.12744195E-02  -0.92745041E-05
  7422.6509       0.83569039       0.83632119        1.0094373        1.0100682      -0.13302697E-02  -0.64122027E-05
