 e norm nbkg flat fbkg nder nsec
 7107.5959 0.75796563E-02 0.75796578E-02 0.75796578E-02 0.75796578E-02 0.23531831E-02 0.59861964E-02
 7107.6939 0.79570169E-02 0.79570185E-02 0.79570185E-02 0.79570185E-02 0.26145705E-02 -0.34172120E-02
 7107.7951 0.81006095E-02 0.81006111E-02 0.81006111E-02 0.81006111E-02 0.16723036E-02 -0.41048674E-02
 7107.8964 0.82956952E-02 0.82956969E-02 0.82956969E-02 0.82956969E-02 0.17832445E-02 -0.24738998E-02
 7107.9944 0.84559424E-02 0.84559440E-02 0.84559441E-02 0.84559440E-02 0.11793494E-02 -0.43011882E-02
 7108.0940 0.85287759E-02 0.85287776E-02 0.85287776E-02 0.85287776E-02 0.93317919E-03 0.18892959E-02
 7108.1969 0.86449494E-02 0.86449511E-02 0.86449511E-02 0.86449511E-02 0.15620092E-02 0.49740683E-02
 7108.2966 0.88451546E-02 0.88451564E-02 0.88451564E-02 0.88451564E-02 0.19406568E-02 -0.22529158E-02
 7108.3962 0.90316932E-02 0.90316950E-02 0.90316950E-02 0.90316950E-02 0.11130369E-02 -0.60630525E-02
 7108.4975 0.90687916E-02 0.90687934E-02 0.90687934E-02 0.90687934E-02 0.72243801E-03 0.33657102E-02
 7108.5972 0.91768534E-02 0.91768552E-02 0.91768552E-02 0.91768552E-02 0.17893124E-02 0.90016029E-02
 7108.6984 0.94283289E-02 0.94283308E-02 0.94283308E-02 0.94283308E-02 0.25311841E-02 0.38475960E-02
 7108.7997 0.96896105E-02 0.96896125E-02 0.96896125E-02 0.96896125E-02 0.25687430E-02 0.82553323E-03
 7108.9010 0.99487100E-02 0.99487120E-02 0.99487120E-02 0.99487120E-02 0.26984223E-02 -0.57240192E-03
 7109.0023 0.10236279E-01 0.10236281E-01 0.10236281E-01 0.10236281E-01 0.24527813E-02 -0.24130679E-02
 7109.1004 0.10437616E-01 0.10437618E-01 0.10437618E-01 0.10437618E-01 0.22174327E-02 0.31073705E-02
 7109.2000 0.10674661E-01 0.10674663E-01 0.10674663E-01 0.10674663E-01 0.30671022E-02 0.66154811E-02
 7109.3013 0.11054017E-01 0.11054019E-01 0.11054019E-01 0.11054019E-01 0.35469591E-02 -0.19894241E-03
 7109.4010 0.11387521E-01 0.11387524E-01 0.11387524E-01 0.11387524E-01 0.30271192E-02 0.54807895E-03
 7109.4990 0.11652527E-01 0.11652529E-01 0.11652529E-01 0.11652529E-01 0.36553231E-02 0.94846868E-02
 7109.6004 0.12116232E-01 0.12116234E-01 0.12116234E-01 0.12116234E-01 0.49179484E-02 0.39246258E-02
 7109.7017 0.12649046E-01 0.12649049E-01 0.12649049E-01 0.12649049E-01 0.44505661E-02 -0.25814088E-02
 7109.7997 0.13003528E-01 0.13003530E-01 0.13003530E-01 0.13003530E-01 0.44033007E-02 0.10413511E-01
 7109.8994 0.13519750E-01 0.13519753E-01 0.13519753E-01 0.13519753E-01 0.65097233E-02 0.13128754E-01
 7110.0007 0.14312073E-01 0.14312076E-01 0.14312076E-01 0.14312076E-01 0.70423640E-02 0.49237713E-02
