e         norm        nbkg        flat        fbkg        nder        nsec
  7106.8040       0.14025172E-01   0.14025171E-01   0.14025171E-01   0.14025171E-01   0.25843646E-02   0.14234909E-02
  7106.9003       0.14375280E-01   0.14375279E-01   0.14375279E-01   0.14375279E-01   0.19510390E-02  -0.56764116E-02
  7106.9950       0.14397899E-01   0.14397897E-01   0.14397897E-01   0.14397897E-01   0.14999430E-02   0.22443286E-02
  7107.0995       0.14674084E-01   0.14674083E-01   0.14674083E-01   0.14674083E-01   0.23981316E-02   0.28935594E-02
  7107.2024       0.14895223E-01   0.14895222E-01   0.14895222E-01   0.14895222E-01   0.21000093E-02   0.72272298E-03
  7107.3020       0.15099309E-01   0.15099307E-01   0.15099307E-01   0.15099307E-01   0.25444737E-02   0.37102155E-02
  7107.4016       0.15402151E-01   0.15402149E-01   0.15402149E-01   0.15402149E-01   0.28391844E-02   0.15469769E-02
  7107.5029       0.15669604E-01   0.15669603E-01   0.15669603E-01   0.15669603E-01   0.28552087E-02  -0.40988723E-02
  7107.5992       0.15966357E-01   0.15966356E-01   0.15966356E-01   0.15966356E-01   0.20292227E-02  -0.43894548E-02
  7107.6956       0.16060660E-01   0.16060658E-01   0.16060658E-01   0.16060658E-01   0.20093081E-02   0.47478273E-02
  7107.7985       0.16366712E-01   0.16366710E-01   0.16366710E-01   0.16366710E-01   0.29752273E-02   0.57642967E-02
  7107.9014       0.16672929E-01   0.16672927E-01   0.16672927E-01   0.16672927E-01   0.31955370E-02  -0.14967911E-02
  7108.0026       0.17019119E-01   0.17019117E-01   0.17019117E-01   0.17019117E-01   0.26696394E-02  -0.22443538E-02
  7108.1039       0.17213624E-01   0.17213623E-01   0.17213623E-01   0.17213623E-01   0.27409767E-02   0.47952556E-02
  7108.2019       0.17565325E-01   0.17565323E-01   0.17565323E-01   0.17565323E-01   0.36252092E-02   0.46792582E-03
  7108.2966       0.17912369E-01   0.17912367E-01   0.17912367E-01   0.17912367E-01   0.28311676E-02  -0.91573842E-02
  7108.3979       0.18120287E-01   0.18120285E-01   0.18120285E-01   0.18120285E-01   0.18301879E-02   0.12727055E-02
  7108.5008       0.18286079E-01   0.18286077E-01   0.18286077E-01   0.18286077E-01   0.30910439E-02   0.91773306E-02
  7108.6005       0.18746421E-01   0.18746420E-01   0.18746420E-01   0.18746420E-01   0.36891847E-02   0.66856311E-02
  7108.7018       0.19027372E-01   0.19027370E-01   0.19027370E-01   0.19027370E-01   0.44344345E-02   0.51908006E-02
  7108.7998       0.19630244E-01   0.19630242E-01   0.19630242E-01   0.19630242E-01   0.47237580E-02  -0.72437129E-02
  7108.8978       0.19953451E-01   0.19953449E-01   0.19953449E-01   0.19953449E-01   0.30143263E-02  -0.52098045E-02
  7108.9991       0.20231063E-01   0.20231061E-01   0.20231061E-01   0.20231061E-01   0.36853345E-02   0.10681767E-01
  7109.0971       0.20688034E-01   0.20688032E-01   0.20688032E-01   0.20688032E-01   0.51434802E-02   0.54037193E-02
  7109.1968       0.21247918E-01   0.21247916E-01   0.21247916E-01   0.21247916E-01   0.47536390E-02  -0.73025426E-03
  7109.2998       0.21651150E-01   0.21651147E-01   0.21651147E-01   0.21651147E-01   0.49955263E-02   0.66300587E-02
  7109.4043       0.22284560E-01   0.22284558E-01   0.22284558E-01   0.22284558E-01   0.61294690E-02   0.79332083E-02
