NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.767,2.02,1.599,1.416,1.385,1.48,1.62,1.774,2.532,4.138,7.877,5.018,2.778,1.598,1.415,1.274,1.201,1.527,1.471,1.45,1.692,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.506,1.717,1.542,1.41,1.476,1.333,1.478,1.959,4.508,14.348,24.251,7.197,2.631,1.774,1.421,1.101,1.107,1.247,1.572,1.383,1.596,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.604,1.321,1.622,1.538,1.384,1.478,1.751,3.719,17.786,5.865,3.25,1.904,1.629,1.354,1.21,1.266,1.728,1.713,1.798,1.675,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.124,1.438,1.337,1.523,1.572,1.433,1.427,1.721,1.729,2.11,2.04,1.653,1.588,1.332,1.278,1.273,1.279,1.6,1.51,1.852,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.811,1.403,1.287,1.376,1.45,1.256,1.337,1.389,1.417,1.212,1.353,1.284,1.22,1.115,1.152,1.219,1.341,1.433,1.437,2.395,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.75,1.823,1.529,1.463,1.453,1.382,1.239,1.219,1.366,1.255,1.17,1.119,1.131,1.145,1.134,1.156,1.193,1.538,1.47,1.566,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.601,2.044,1.603,1.522,1.399,1.233,1.3,1.119,1.329,1.289,1.231,1.292,1.131,1.116,1.068,1.119,1.203,1.384,1.566,1.761,2.885,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.344,1.952,1.858,1.772,1.629,1.473,1.282,1.221,1.153,1.224,1.297,1.214,1.148,1.225,1.151,1.079,1.188,1.33,1.507,1.527,2.978,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.431,2.028,2.071,1.875,1.638,1.39,1.379,1.203,1.185,1.312,1.404,1.324,1.101,1.097,1.161,1.017,1.175,1.203,1.298,1.39,3.208,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.679,1.739,1.766,1.675,1.661,1.539,1.322,1.272,1.122,1.183,1.275,1.471,1.3,1.295,1.076,1.057,1.246,1.244,1.324,1.372,2.819,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.804,1.879,1.961,1.831,1.596,1.463,1.336,1.318,1.112,1.332,1.209,1.296,1.255,1.149,1.19,1.21,1.314,1.265,1.217,1.865,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.982,3.271,1.995,1.932,1.651,1.469,1.78,1.36,1.218,1.144,1.273,1.32,1.419,1.286,1.352,1.163,1.157,1.367,1.316,1.246,1.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
